Title,JD,Skills
Business Analyst I,"About the job
This job is sourced from a job board. Learn more
Job Family: Business Support
Type: Full time
Date Posted:Jun 06, 2023
Req #: JR73864
Location:
FL, TAMPA
National +50 Miles away from nearest PulsePoint, National +50 Miles away from nearest PulsePoint
Description

Business Analyst I

Location: REMOTE

The Business Analyst I is responsible for assisting with the translation of business needs into application software requirements. This is the entry-level in a career progression.

How You Will Make An Impact
Participates in developing and/or modifying requirements, business design specifications, user training and documentation.
Researches and documents business issues.
Translates business requirements to technical staff to ensure that requirements are incorporated into system design.
Tests and documents solutions. Serves as liaison between users of the software and technical staff.
Minimum Requirements

Requires a HS diploma or equivalent and minimum of 5 years related health care experience that includes work flow design, data analysis, and/or systems automation and testing; or any combination of education and experience, which would provide an equivalent background.

Preferred Skills, Capabilities And Experiences

BA/BS degree preferred. Understanding of business processes and systems capability strongly preferred.

For candidates working in person or remotely in the below locations, the salary range for this specific position is $20.60 to $34.

Locations: California; Colorado; Nevada; Washington State; Jersey City, NJ; New York City, NY; Ithaca, NY and Westchester County, NY.

In addition to your salary, Elevance Health offers benefits such as, a comprehensive benefits package, incentive and recognition programs, equity stock purchase and 401k contribution (all benefits are subject to eligibility requirements). The salary offered for this specific position is based on a number of legitimate, nondiscriminatory factors set by the company. The company is fully committed to ensuring equal pay opportunities for equal work regardless of gender, race, or any other category protected by federal, state, and local pay equity laws.

The salary range is the range Elevance Health in good faith believes is the range of possible compensation for this role at the time of this posting. This range may be modified in the future and actual compensation may vary from posting based on geographic location, work experience, education and/or skill level. Even within the range, the actual compensation will vary depending on the above factors as well as market/business considerations. No amount is considered to be wages or compensation until such amount is earned, vested, and determinable under the terms and conditions of the applicable policies and plans. The amount and availability of any bonus, commission, benefits, or any other form of compensation and benefits that are allocable to a particular employee remains in the Company's sole discretion unless and until paid and may be modified at the Company’s sole discretion, consistent with the law.

Please be advised that Elevance Health only accepts resumes from agencies that have a signed agreement with Elevance Health. Accordingly, Elevance Health is not obligated to pay referral fees to any agency that is not a party to an agreement with Elevance Health. Thus, any unsolicited resumes, including those submitted to hiring managers, are deemed to be the property of Elevance Health.

Be part of an Extraordinary Team

Elevance Health is a health company dedicated to improving lives and communities – and making healthcare simpler. A Fortune 20 company with a longstanding history in the healthcare industry, we are looking for leaders at all levels of the organization who are passionate about making an impact on our members and the communities we serve. You will thrive in a complex and collaborative environment where you take action and ownership to solve problems and lead change. Do you want to be part of a larger purpose and an evolving, high-performance culture that empowers you to make an impact?

We offer a range of market-competitive total rewards that include merit increases, paid holidays, Paid Time Off, and incentive bonus programs (unless covered by a collective bargaining agreement), medical, dental, vision, short and long term disability benefits, 401(k) +match, stock purchase plan, life insurance, wellness programs and financial education resources, to name a few.

The health of our associates and communities is a top priority for Elevance Health. We require all new candidates in certain patient/member-facing roles to become vaccinated against COVID-19. If you are not vaccinated, your offer will be rescinded unless you provide – and Elevance Health approves – a valid religious or medical explanation as to why you are not able to get vaccinated that Elevance Health is able to reasonably accommodate. Elevance Health will also follow all relevant federal, state and local laws.

Elevance Health has been named as a Fortune Great Place To Work in 2022, has been ranked for five years running as one of the 2023 World’s Most Admired Companies by Fortune magazine, and is a growing Top 20 Fortune 500 Company. To learn more about our company and apply, please visit us at careers.ElevanceHealth.com. Elevance Health is an Equal Employment Opportunity employer and all qualified applicants will receive consideration for employment without regard to age, citizenship status, color, creed, disability, ethnicity, genetic information, gender (including gender identity and gender expression), marital status, national origin, race, religion, sex, sexual orientation, veteran status or any other status or condition protected by applicable federal, state, or local laws. Applicants who require accommodation to participate in the job application process may contact ability@icareerhelp.com for assistance.

EEO is the Law

Equal Opportunity Employer / Disability / Veteran

Please use the links below to review statements of protection from discrimination under Federal law for job applicants and employees.
EEO Policy Statement
Know Your Rights
Pay Transparency
Privacy Notice for California Residents
Elevance Health, Inc. is anE-verify Employer (https://www.e-verify.gov/sites/default/files/everify/posters/EVerifyParticipationPoster.pdf)

Need Assistance?

Email us (elevancehealth@icareerhelp.com) or call 1-877-204-7664","work flow design, data analysis, systems automation, testing"
Junior Business Analyst,"About the job
This job is sourced from a job board. Learn moreEmployee dedication contributes to our success, customer satisfaction, and our nation's most outstanding achievements. At Fusion Technology, we recognize that our employees are our greatest attribute. That is why our top priority is to attract, recruit, retain, and continuously motivate quality employees who meet or exceed customer requirements. Our dedicated people make Fusion Technology one of the fastest-growing information technology (IT) companies in West Virginia. As a HUBZone Small Business, we know what it means to work as one team. As such, we encompass all definitions of the word ""team."" So, are you ready to join ours?

Who is Fusion Technology?

Fusion Technology is a performance-driven HUBZone Small Business concern residing in the heart of the beautiful mountainsides of West Virginia, steps away from the Federal Bureau of Investigation's Criminal Justice Information Services Division's Headquarters. Founded in 2007 by an Engineer-by-trade, Fusion Technology dedicates our valuable resources to providing comprehensive IT services and solutions to mission-critical US Government programs and the Intel Community.

Who are you?

Security-cleared Professional: You have made it through the process of receiving a United States government security clearance – congratulations! We know you are a trustworthy intel professional because you have an active Top Secret security clearance.
Eager career starter: You are wanting to learn and develop your Business Analyst skills.
Education is important to us: You have a Bachelors degree with 3+ years of experience.

What We Do

The Business Analyst (BA) will Identify and document functional requirements and create user stories for the EPAS application. They will work to design and test functional components of the system according to project specifications. The BA will develop project documentation and user training materials according to program specifications. The BA will provide technical support to end users. The BA will perform program management support tasks, such as status reporting and work plan maintenance.

What You’ll Do

Implement a comprehensive management plan for each project and hold regular stakeholder meetings to keep all interested parties updated in project progress.
Determine and document user requirements for business processes and abide by those requirements for future projects.
Reviews and analyzes information, forecasts, methods, schedules, systems, processes, and procedures.
Provides expertise in, but not limited to, Configuration Management, Strategic Planning, Knowledge Management, Business Analysis and Technical Analysis.

What matters to you matters to us.

Fusion Technology values its employees and works hard to ensure proper care for them and their families. We desire to compensate employees in a competitive, motivational, fair, and equitable way with other employers in the marketplace. Salary is only one component of employee compensation but an integral part of recruiting and retaining qualified employees. However, at Fusion Technology, we take a comprehensive approach and consider each employee's needs to tailor a compensation plan that provides financial security and peace of mind. Our competitive package includes a best-in-class matching 401K program, comprehensive Cigna healthcare plan, a competitive employer contribution to a health savings account, vision and dental plans, life insurance, short- and long-term disability, and personal leave, in addition to paid certifications and training.

Fusion Technology LLC is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills, and experiences within our workforce. Qualified applicants will receive consideration for employment without regard to sex, race, ethnicity, age, national origin, citizenship, religion, physical or mental disability, medical condition, genetic information, pregnancy, family structure, marital status, ancestry, domestic partner status, sexual orientation, gender identity or expression, veteran or military status, or any other basis prohibited by law.","Configuration Management, Strategic Planning, Knowledge Management, Business Analysis,Technical Analysis, document user requirements"
JR Business Analyst,"About the job
This job is sourced from a job board. Learn moreRole: Business Analyst (Entry Level)

Location: Michigan, MI

Duration: Contract (6+Months)

Job Description :-

Responsibilities: Check reporting results and flag potential issues.

Create dashboards, spreadsheet analysis, and presentations as requested by regional analysts.

Troubleshoot data issues by validating different data sources.

Analyze business performance trends to identify growth opportunities.

Minimum qualifications: BA/BS degree (accounting, finance, economics, industrial engineering, statistics, math) At least 6+ Months of work experience in tech, finance, and/or accounting Strong knowledge of SQL Fluency in MS Excel Strong attention to detail as well as strong written and Excellent Communication skills Ability to multitask, set priorities and work efficiently in a high-paced environment. Experience with R, Python, or similar statistical programming language.","SQL, MS Excel, Communication, multitask, set priorities, R, Python "
Business Analyst (Level I),"About the job
Pay Rate: $22.10

Location: Riverside, RI - Onsite Position

12 Month Contract

Summary

As part of this role, you will be joining the Corporate Accounts Payable team, Invoice Operations
This role is focused on reviewing a large volume of submitted invoices for compliance to the policy, researching errors for solution processing, and working with multiple teams to ensure invoices are processed and paid in a timely fashion
Responsible for the day-to-day research and resolution for invoices that may contain errors or suspect of duplicate payment
The team will review invoices submitted through multiple system including Appian, eLedger and Oracle
This role may also include taking part of testing the implementation of new systems
Tasks involve writing test scripts, testing new systems based on business requirements, reporting breaks/enhancements and updating procedures.

Skills

SAP/ eLedger or Oracle Knowledge
Project Testing experience
Analytical Abilities","SAP, eLedger, Oracle Knowledge, Project Testing, Testing, Analytical Abilities, Analytics"
Business Analyst,"About the job
As a Business Analyst with a focus on the Center for Medicare and Medicaid, you will play a critical role in analyzing and improving business processes, systems, and strategies within the healthcare domain. You will work closely with stakeholders, including CMS representatives, to gather requirements, conduct analysis, and develop solutions that align with CMS goals and regulations. Your expertise in healthcare operations and business analysis will be instrumental in driving improvements and efficiencies in CMS programs.

Job Responsibilities

Collaborate with stakeholders, including CMS representatives, to gather and document business requirements and objectives.
Conduct in-depth analysis of existing business processes, systems, and workflows related to Medicare and Medicaid programs.
Identify areas for improvement and recommend solutions that align with CMS regulations and guidelines.
Create and maintain detailed documentation, including business requirements, functional specifications, and process flows.
Collaborate with cross-functional teams, such as developers, testers, and subject matter experts, to ensure accurate and timely implementation of business solutions.
Assist in the testing and validation of new systems, functionalities, and enhancements.
Conduct impact assessments and gap analysis to assess the impact of regulatory changes on existing business processes and systems.

Required Skills

Bachelor's degree in Business Administration, Healthcare Administration, Information Systems, or a related field (or equivalent work experience).
Proven experience as a Business Analyst in the healthcare industry, preferably with exposure to Medicare and Medicaid programs.
Strong knowledge of Medicare and Medicaid regulations, policies, and guidelines.
Familiarity with CMS programs, such as Medicare Advantage (Part C), Prescription Drug Plans (Part D), and Medicaid Managed Care.
Experience in gathering and documenting business requirements and translating them into functional specifications.
Strong analytical and problem-solving skills, with the ability to analyze complex business processes and propose effective solutions.
Proficiency in business analysis tools and techniques, such as process mapping, requirements elicitation, and data analysis.
Excellent communication and interpersonal skills, with the ability to collaborate effectively with stakeholders at all levels.
Strong attention to detail and ability to manage multiple priorities and deadlines.
Familiarity with Agile and/or Waterfall project management methodologies.

Preferred Skills

Experience working on the Federal Government Contract is highly preferred.
Prior experience working with CMS (Center for Medicare and Medicaid)
Strong Analytical Skills: Proficiency in analyzing complex business processes, identifying problems, and proposing effective solutions. The ability to gather and interpret data, conduct gap analysis, and provide insights is essential.
Business Domain Knowledge: Familiarity with the industry or business domain in which the organization operates. This knowledge helps the business analyst understand the unique challenges, regulations, and requirements of the industry and enables effective communication with stakeholders.
Requirements Elicitation and Management: Expertise in eliciting and documenting requirements through various techniques such as interviews, workshops, and documentation analysis. Proficiency in managing and prioritizing requirements to ensure alignment with business goals.","CMS programs, Medicare Advantage, Prescription Drug Plans, Medicaid Managed Care, problem-solving, business processes, process mapping, requirements elicitation, data analysis, communication , Agile methodologies, Waterfall methodologies, "
Business Analyst,"About the job
This job is sourced from a job board. Learn moreBusiness Analyst Chantilly, VA Apply Now

Quadrint is a fast-growing, Information Technology consulting company in the public sector that has been named to The Washington Post's Top Workplaces for five consecutive years! We pride ourselves in our employees feeling welcomed, valued, and involved.

Full vaccination against COVID-19, and compliance with Quadrint's vaccination verification procedures, is required for this position, unless the individual is legally entitled to a reasonable accommodation.

Quadrint is seeking a Business Analyst in the Chantilly, VA area.

A qualified candidate will perform the following duties and responsibilities, but are not limited to:

Understand client business needs and requirements.
Understand the current system and how it functions.
Assist in design and development of applications based on business requirement.
Assist in preparing project plan and technical and functional specifications.
Identify and troubleshoot issues in a timely fashion.
Ensure that project deliverables meet business requirements and complete project within assigned timelines.
Support documentation of existing and to be process flows and diagrams.

Security Clearance Requirement

Active/current TS/SCI is required.

Required Qualifications

Bachelor's Degree in Management, Business, Finance, Administrator, or related field.
Minimum 4 years of experience business information resources management and business process improvement.
Some experience with Business Requirements Analysis and Agile Planning.

Quadrint is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, genetic information, national origin, age, marital status, protected veteran status, status as an individual with a disability, or any other protected status.","business requirements, Communication, Data Mapping, Documentation, Functional Specifications, Implementation Plans, Process Design"
Senior Business Analyst,"About the job
This job is sourced from a job board. Learn moreGreetings from Javen Technologies!!!

Job Description

Job Title: Senior Business Analyst

Location: Eagan, MN- 100% Remote

Duration: 6+ Months

Mandatory Skills

7 years of experience in Business Analysis in the health plan / health insurance space
Medicaid experience is helpful.
Expert collaborative, interpersonal, oral, and written communication skills and demonstrated ability to develop accurate and appropriate communications to all levels of management.
Strong experience on Implementations and data exchange
Strong experience with the MS Office suite.
Exceptional research, analytical and problem-solving skills.
Expert level ability to make decisions based on analysis and business needs.
Exceptional ability to work in high paced environment, handling multiple responsibilities and projects.
Expert ability to build cross functional relationships, which includes negotiation and persuasion skills.
Expert analytical, conceptual, and logic skills to take high-level business product concepts and translate to operational level business models.
Agile/Jira experience
Health Insurance experience

Kind Regards,","communication, Implementations and data exchange, MS Office, problem-solving, analytics, negotiation, Agile Methodologies, JIRA,  "
Business Analyst,"About the job
""ALL our jobs are US based and candidates must be in the US with valid US Work Authorization. Please apply on our website directly."" Title: Business Analyst Client: Government Location: Atlanta, GA Job Type: Onsite from day 1 Rate: $50-55 per hour on C2C Visa: Only GC or USC

Seeking a highly capable Business Analyst (BA) to support 2 projects.

This candidate will be consulting with functional & technical experts in the Law Department and Legislative Management Teams along with Procurement & Information Technology to implement a Case Management System and a Legislative and Agenda Management System. To ensure success as a BA, they should demonstrate extensive knowledge of IT system integration, migration to the cloud, and the ability to document Case Management and Legislative Management processes. Their business & technical expertise must include optimized business processes, services, and case management.

Business Analyst Responsibilities

Perform feasibility analysis, scopes projects, and works with management teams and the Project Manager to prioritize deliverables and negotiate on product functionalities.

Create detailed business requirements and translate them into functional specifications in a

Functional Requirement Document (FRD

Create Process documentation.

Provide analytic support by coordinating data extraction from various databases and data interpretation.

Partner with development and analytic teams to provide reporting on software solutions.

Participate in Integration Testing User Acceptance Testing (UAT) and Functionality

Testing.

Focus on the people side of change in systems and technology, processes, job roles and skills, as well as organizational structures.

Serves as liaison for customers for professional service and support requests.

Demonstrate proficiency in requirements gathering, estimation, gaining customer approval, execution, testing, and delivery of technical solutions.

Identify process improvement opportunities.

Develop business process models and documentation.

Assist business in Change Management activities.

Business Analyst Requirements

Bachelor's Degree in Business or IT

5+ years of experience working as a Functional, Data or Business Analyst

Advanced skills in MS Tools- Excel, PowerPoint, Project, Visio, and Outlook

5+ years of customer interfacing experience project oversight, customer presentation.

5+ years' work experience in full systems development\

Exceptional interpersonal, collaboration, and communication skills.

An overall general understanding of large IT operating environments, Change Control,

Desktop Support, Service Desks, Application Development, Release Management,

Networks, Storage, Data Centers.

Familiar with Software and System Development Life Cycles and Agile Development methodology.

Understands the concepts, best practices, and execution of Business Analysis and Project

Management principles.

Expert skills in process mapping, requirements definition, design documentation and system implementation including using Visio and A e.

Excellent organizational and people management skills. Strong understanding of how to manage change.

Excellent time management and organizational skills.

Energetic, action-oriented, positive approach to problem solving and ability to balance multiple projects concurrently.

Good workshop facilitation and presentation skills.","feasibility analysis, scopes projects, Project Management, FRD, Process documentation, data extraction, database, SQL, UAT, Testing, business process, MS Office, "
Business Analyst,"About the job
Description

Jennie Joiner with Robert Half is seeking a Business Analyst with manufacturing specific industry experience to join a growing Creswell, Oregon organization. In this position, you will support the finance, accounting and operations functions with managing BOM’s, data set up in their ERP system, account mapping and data entry into the general ledger. This individual must be able to collect, analyze and report actual manufacturing costs, material, labor, overhead, reserve and comparing to budget while identifying variances for profitability improvement. If you are interested in working for a sustainable organization that is dedicated to it’s customers, contact Jennie Joiner with Robert Half today at 541-345-9930 or apply online to find out more!

What You Get To Do Each Day
Ensure accuracy of the inventory values and the proper recording in sub-ledgers and financials of the brands/entities
Assist in implementing standard costing and rollup functions
Manage co-pack invoice process, monitoring variances and resolving discrepancies
Review purchase order variances, analyze, reclass errors, and communicate results.
Complete weekly and monthly reports, tracking savings and reporting on KPIs
Report on operational performance measurements throughout the month including inventory, plant performance, labor, and recommend changes
Assist in the completion of month-end financial close tasks
Perform other month end, quarter end, and year end tasks as assigned (journals, account reconciliations, account analysis)
Work closely with Supply Chain to balance optimal inventory levels against operating costs and efficiencies
Recommend improvements to systems and processes and work with managers on cost accounting policies
Utilizes the various business reports and metrics to evaluate, interpret, and provide critical information in support of strategic and operating decisions
Assist in the preparation of the annual operating plan and budgeting process
Support strategic forecast initiatives designed to improve quality of the forecast and close the identified gaps
Assist in the creation of the FP& A function
Assist in physical inventory and periodic cycle counts
Act as resource to Operations regarding cost accounting issues
Keys
Manufacturing industry work history required
Cost Accounting experience
Ability to collect, analyze, and report actual manufacturing costs, material, labor, overhead, reserve, comparing to budget, identifying variances and highlighting areas of profitability improvement
Bachelor’s degree in Accounting, Business, Finance, or 5+ years of experience in a production manufacturing environment
QuickBooks experience ideal.
Requirements

Cost Accounting, Manufacturing Cost Accounting, Bill of materials (BOM), General Ledger, Asset Inventory, Adequate Inventory, Month End Close, Financial Analysis, Microsoft Excel

Robert Half is the world’s first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies. We offer contract, temporary and permanent placement solutions for finance and accounting, technology, marketing and creative, legal, and administrative and customer support roles.

Robert Half puts you in the best position to succeed by advocating on your behalf and promoting you to employers. We provide access to top jobs, competitive compensation and benefits, and free online training. Stay on top of every opportunity – even on the go.

All applicants applying for U.S. job openings must be legally authorized to work in the United States. Benefits are available to contract/temporary professionals, including medical, vision, dental, and life and disability insurance. Hired contract/temporary professionals are also eligible to enroll in our company 401(k) plan.","Cost Accounting, QuickBooks, Analytics, Reporting"
Senior Full Stack Engineer,"About the job
🚀 Whatnot

Whatnot is a livestream shopping platform and marketplace backed by Andreessen Horowitz, Y Combinator, and CapitalG. We’re building the future of ecommerce, bringing together community, shopping and entertainment. We are committed to our values , whether working remotely or from one of our offices. We are building a team that has experience from top tech, retail and payments platforms in the world.

We’re innovating in the fast-paced world of live auctions in categories including sports, fashion, video games, and streetwear. The platform couples rigorous seller vetting with a focus on community to create a welcoming space for buyers and sellers to share their passions with others.

And, we’re growing. Whatnot has been the fastest growing marketplace in the US over the past two years and we’re hiring forward-thinking problem solvers across all functional areas.

📈 Opportunity Size

Retail disruption is one of the largest opportunities in the startup space today. Livestream shopping is taking off around the world – a $300B GMV market in China that’s grown 100% YoY. Whatnot is bringing it to the world through a community-first approach, starting in the U.S. where retail is a $5T market opportunity!

💻 Role

Help us launch a world-class live shopping platform into new categories, such as clothing, luxury, and sneakers, by contributing to the development of both category-specific and platform-wide features and infrastructure.
Deliver useful, fun, trusted, and seamless user experiences to help people find what they’re looking for, enjoy their time on Whatnot, and share with their friends.
Help recruit and grow successful sellers to Whatnot, by working closely with our marketing & operations teams to identify seller needs, pain points, and opportunities, and designing and implementing effective solutions.

👋 You

Curious about who thrives at Whatnot? We’ve found that low ego, a growth mindset, and leaning into action and high impact goes a long way here.

As our next Full Stack Engineer you should have 3+ years of development experience, ideally in a fast-paced or high-growth technology company, plus:

Have a proven track record of building and launching high-quality software products that reach end-users, with an eye for design, and empathy for user needs.
Possess strong technical expertise within a domain such as web development, app development, machine learning, or backend development.
Demonstrate a desire and ability to quickly learn in new environments, new languages, or new domains, and adapt to changing requirements and constraints.
Have experience scaling products from 1K to 1M users, and have a deep understanding of the technical and operational challenges associated with high-traffic and high-scale systems.
Have experience working within e-Commerce, live video, or development of other real-time experiences, and are familiar with the unique requirements and opportunities of these domains.
Bachelor’s degree in Computer Science, a related field, or equivalent work experience.

🎁 Benefits

Competitive base salary and stock options
Unlimited Vacation Policy and Company-wide Holidays (including a spring and winter break)
Health Insurance options including Medical, Dental, Vision, Life, Short term disability & Long term Disability
Whatnot covers 99% of employee premium costs, and 75% of dependent care premiums for Medical
Dental and Vision sponsored 100% by Whatnot for employees and dependents
Work From Home Support
Laptop provided by Whatnot and home office setup allowance
$450 work-from-anywhere quarterly allowance for cell phone and internet
Care benefits
$1,350 quarterly allowance on food
$1,500 quarterly allowance for wellness
16 weeks Paid Parental Leave and gradual return to work
$5,000 annual allowance towards Childcare
$20,000 lifetime benefit for family planning, such as adoption or fertility expenses
Professional Development
$2,000 annual benefit to invest in your professional development
401k offering for Traditional and Roth accounts provided by Betterment
Employer matching contributions of 100% of up to 4% of contributions on base salary

💛 EOE

Whatnot is proud to be an Equal Opportunity Employer. We value diversity, and we do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, parental status, disability status, or any other status protected by local law. We believe that our work is better and our company culture is improved when we encourage, support, and respect the different skills and experiences represented within our workforce.","web development, app development, machine learning, backend development, e-Commerce, live video, socket, problem-solving, webrtc, programming"
Software Engineer,"About the job
Boom Entertainment is a technology company that is fueling the biggest winners in sports betting and online gaming. Working with professional sports leagues, media companies, and leading casino operators, Boom provides technology and games to many of the biggest names in the industry -- NBC Sports, Barstool Sports, Penn National Gaming, 8AM Golf, YES Network, Rush Street Interactive, DraftKings, Golden Nugget, and many more.

As a company, we are looking for driven dreamers who want to make an impact on this industry and the world. We want people of integrity who are open to learning and willing to challenge the norm. We want people who are curious, reliable, empathetic, and obsessed with quality.

Boom has two main verticals, Sports Products and Casino Games.

Our Sports Products include world-class free-to-play games and technology for our partners that have entertained more than 4 million sports fans. Also included is Boom Fantasy, our very own Daily Fantasy Sports application bringing a quick and easy way for sports fans from any skill-level to join in the fun of DFS. With millions of dollars in winnings so far, Boom Fantasy is a rapidly growing success.

Our Casino team is hard at work building a suite of eye-catching casino games for distribution to casino operators in the legal U.S. and international iGaming markets. This team is reimagining what's possible in gaming by focusing on innovative products powered by cutting-edge technology.

If you want to join our team as a Software Engineer and build (legal) sports gaming and casino products for the next generation, please apply!

Responsibilities:

Collaborate with other engineers, designers, and the leadership team to make technical decisions that solve real problems in a way that enhances our core capabilities
Implement new game formats and social features by working across the presentation, server, event, and storage layers of our stack as necessary
Optimize for performance and quality of end-user experience in the context of local execution, networked resources, and fully scaled operations
Participate in roadmapping, daily stand ups, and ongoing discussions about best practices and the design patterns that are most appropriate for our use cases
Develop an appreciation for the gaming vertical and participate in the design, testing, and evaluation of new products and features

Qualifications:

Demonstrated creative, critical thinking, and troubleshooting skills
Highly professional work ethic and the ability to deliver well-vetted work on an ongoing basis
Excellent collaborative skills, including written and verbal communication
Experience with Game Development using Javascript, Unity, C++, or another game development framework and language
Experience with networking and client-server communication (REST, websockets, server-sent events)

Preferred Qualifications:

Experience with ThreeJS, Typescript, WebGL, GLSL Shaders
Professional experience as a game developer or engineer on a B2C Product
B.S. or M.S. in Computer Science or a related technical discipline with solid academic performance.

Our target compensation for this position is between $95,000 and $115,000, depending on experience. Should your compensation expectations fall above this range, we highly encourage you still apply as we're growing, and we can further evaluate the level of this position. Compensation is just the beginning, and below you will find more reasons Why you should work here.

Why you should work here

Positions are fully remote
Uncapped PTO (please use them!)
Flexible working hours
All-expenses-paid company-wide retreat every two years
Quarterly contests and giveaways featuring prizes and swag boxes
A $300 home office reimbursement
Parental support (paid leave, childcare, and adoption benefits)
Health, Dental, Vision+
401K Match & FSA
A great culture that includes support for learning and development

What Boom promises you

We have a culture that values trust vs. micromanaging. Each role has a high level of autonomy. We have an inclusive environment where you don't have to change who you are. We encourage you to take time off without guilt.

Lastly, we proudly offer an extremely transparent, fun, and engaging culture that provides opportunities for personal and professional growth to all employees.","critical thinking, troubleshooting, communication, Game Development, Javascript, Unity, C++, networking , REST, websockets, server-sent events, socket, ThreeJS, Typescript, WebGL, GLSL Shaders, "
Senior Fullstack Engineer,"About the job
About Placer.ai

Placer.ai is a fast-growing big data startup led by seasoned executives and repeat entrepreneurs who are building the world's first ""Google Analytics for the physical world."" Placer.ai’s platform provides instant visibility into any property in the U.S., presenting accurate details about visitation patterns and demographic breakdowns of visitors. Placer.ai’s customers can see where visitors have been before, where they go afterwards, where they typically go for sports, entertainment, groceries, etc., and what their interests are. Placer.ai's A.I.-based SaaS platform replaces archaic solutions such as manual surveys, installed cameras and other people-counting systems, creating a blue ocean market of more than $100B.

Placer.ai has grown 2x year-over-year for the past 3 years, counting more than 2,300 paying customers across a range of industries, including 2 of the world’s top-10 retailers, 2 of the top-10 CPG firms worldwide, a world’s top hospitality firm, 2 of the world’s top-10 commercial real estate (CRE) firms and 2 of the world’s top multinational asset managers and hedge funds. Placer.ai has just raised $100M for Unicorn ($1B+) valuation in Series C funding.

Summary

Our group is looking for a Senior Full-Stack Developer to join. We are looking for a people's person with the willingness to help us conquer the world. Our group works with React, Node.js, Python and GIS softwares in a flexible and dynamic environment. You'll be responsible for designing and implementing core product features. This position is a remote position.

Responsibilities

Build a next-generation analytics web app and GIS related applications on React 16.8+, Node.js, Python and GIS softwares.
Build end-to-end development of new and existing features including client and server-side code, database schemas, and communication APIs.
Design and develop overall architecture of the web application and GIS related modules.
Design, implement and deploy E2E features.
Work closely with the rest of the engineering team to design and launch new features.

REQUIREMENTS And QUALIFICATIONS

At least 3 years as a Full Stack developer
Deep understanding in at least one of: Node.js or Python
2+ years of experience with Python, pandas, celery, RabbitMQ, and MongoDB - advantage
Deep understanding in at least one of React, Angular, VUE.JS
Deep understanding of in at least one of Redux, MobX, NgRx, Akita, GraphQL
Hands on knowledge of Open Source GIS Technologies, like Mapbox - Advantage
CS degree or equivalent experience
Self-initiated and quick learner

Advantages

Experience with Docker & Kubernetes
Experience working with Google Cloud Platform (preferred) or other Cloud vendors
Developing complex large scale data pipelines

WHY JOIN PLACER.AI?

Join a rocketship! We are pioneers of a new market that we are creating.
Take a central and critical role at Placer.ai.
Work with, and learn from, top-notch talent.
Competitive salary.
Excellent benefits.
Fully remote.

Noteworthy Links To Learn More About Placer

Placer.ai in a nutshell
Placer.ai's recent $100M round C funding (unicorn valuation!)
Placer.ai's data
Placer.ai in the news
COVID-19 Economic Recovery Dashboard

Placer.ai is an equal opportunity employer, and we are committed to building a team culture that celebrates diversity and inclusion.

Placer.ai’s applicants are considered solely based on their qualifications, without regard to an applicant’s disability or need for accommodation. Any Placer.ai applicant who requires reasonable accommodations during the application process should contact Placer.ai’s Human Resources Department to make the need for an accommodation known.","React, Node.js, Python, GIS softwares, ERD, REST, GIS, pandas, celery, RabbitMQ,MongoDB, Angular, VUE, Redux, MobX, NgRx, Akita, GraphQL, Mapbox, Docker,Kubernetes, Google Cloud Platform, complex large scale data pipelines"
